gene_id	DB_1_F_02_S44_L004_	DB_1_F_04_S46_L004_	DB_1_F_06_S48_L004_	DB_1_F_10_S51_L004_	DB_1_F_12_S53_L004_	DB_1_F_14_S55_L004_	DB_1_L_01_S43_L004_	DB_1_L_03_S45_L004_	DB_1_L_05_S47_L004_	DB_1_L_07_S49_L004_	DB_1_L_09_S50_L004_	DB_1_L_11_S52_L004_	DB_1_L_13_S54_L004_	DB_1_L_15_S56_L004_	DB_2_F_02_S58_L004_	DB_2_F_04_S60_L004_	DB_2_F_06_S62_L004_	DB_2_F_10_S65_L004_	DB_2_F_12_S67_L004_	DB_2_F_14_S69_L004_	DB_2_L_01_S57_L004_	DB_2_L_03_S59_L004_	DB_2_L_05_S61_L004_	DB_2_L_07_S63_L004_	DB_2_L_09_S64_L004_	DB_2_L_11_S66_L004_	DB_2_L_13_S68_L004_	DB_2_L_15_S70_L004_	DB_3_F_02_S72_L004_	DB_3_F_04_S74_L004_	DB_3_F_06_S76_L004_	DB_3_F_10_S79_L004_	DB_3_F_12_S81_L004_	DB_3_F_14_S83_L004_	DB_3_L_01_S71_L004_	DB_3_L_03_S73_L004_	DB_3_L_05_S75_L004_	DB_3_L_07_S77_L004_	DB_3_L_09_S78_L004_	DB_3_L_11_S80_L004_	DB_3_L_13_S82_L004_	DB_3_L_15_S84_L004_	MB_1_F_04_S1_L001_	MB_1_F_05_S2_L001_	MB_1_F_06_S3_L001_	MB_1_F_12_S4_L001_	MB_1_F_13_S5_L001_	MB_1_F_14_S6_L001_	MB_1_L_01_S7_L001_	MB_1_L_02_S8_L001_	MB_1_L_03_S9_L001_	MB_1_L_07_S10_L001_	MB_1_L_09_S11_L001_	MB_1_L_10_S12_L001_	MB_1_L_11_S13_L001_	MB_1_L_15_S14_L001_	MB_2_F_04_S15_L001_	MB_2_F_05_S16_L001_	MB_2_F_06_S17_L001_	MB_2_F_12_S18_L001_	MB_2_F_13_S19_L001_	MB_2_F_14_S20_L001_	MB_2_L_01_S21_L001_	MB_2_L_02_S22_L001_	MB_2_L_03_S23_L001_	MB_2_L_07_S24_L001_	MB_2_L_09_S25_L001_	MB_2_L_11_S26_L001_	MB_2_L_15_S27_L001_	MB_3_F_04_S28_L001_	MB_3_F_05_S29_L001_	MB_3_F_06_S30_L001_	MB_3_F_12_S31_L001_	MB_3_F_13_S32_L001_	MB_3_F_14_S33_L001_	MB_3_L_01_S34_L001_	MB_3_L_02_S35_L001_	MB_3_L_03_S36_L001_	MB_3_L_07_S37_L001_	MB_3_L_08_S38_L001_	MB_3_L_09_S39_L001_	MB_3_L_10_S40_L001_	MB_3_L_11_S41_L001_	MB_3_L_15_S42_L001_	MJS_1_F_05_S43_L001_	MJS_1_F_06_S44_L001_	MJS_1_F_07_S45_L001_	MJS_1_F_13_S46_L001_	MJS_1_F_14_S47_L001_	MJS_1_F_15_S48_L001_	MJS_1_L_01_S49_L001_	MJS_1_L_02_S50_L001_	MJS_1_L_03_S51_L001_	MJS_1_L_04_S52_L001_	MJS_1_L_09_S53_L001_	MJS_1_L_10_S54_L001_	MJS_1_L_11_S55_L001_	MJS_1_L_12_S56_L001_	MJS_2_F_04_S57_L001_	MJS_2_F_05_S58_L001_	MJS_2_F_06_S59_L001_	MJS_2_F_12_S60_L001_	MJS_2_F_13_S61_L001_	MJS_2_F_14_S62_L001_	MJS_2_L_01_S63_L001_	MJS_2_L_02_S64_L001_	MJS_2_L_03_S65_L001_	MJS_2_L_07_S66_L001_	MJS_2_L_09_S67_L001_	MJS_2_L_10_S68_L001_	MJS_2_L_11_S69_L001_	MJS_2_L_15_S70_L001_	MJS_3_F_04_S71_L001_	MJS_3_F_06_S72_L001_	MJS_3_F_12_S73_L001_	MJS_3_F_13_S74_L001_	MJS_3_F_14_S75_L001_	MJS_3_F_16_S76_L001_	MJS_3_L_01_S77_L001_	MJS_3_L_02_S78_L001_	MJS_3_L_03_S79_L001_	MJS_3_L_07_S80_L001_	MJS_3_L_09_S81_L001_	MJS_3_L_10_S82_L001_	MJS_3_L_11_S83_L001_	MJS_3_L_15_S84_L001_	NM_1_F_04_S4_L004_	NM_1_F_05_S5_L004_	NM_1_F_06_S6_L004_	NM_1_F_12_S11_L004_	NM_1_F_13_S12_L004_	NM_1_F_14_S13_L004_	NM_1_L_01_S1_L004_	NM_1_L_02_S2_L004_	NM_1_L_03_S3_L004_	NM_1_L_07_S7_L004_	NM_1_L_09_S8_L004_	NM_1_L_10_S9_L004_	NM_1_L_11_S10_L004_	NM_1_L_15_S14_L004_	NM_2_F_04_S18_L004_	NM_2_F_05_S19_L004_	NM_2_F_06_S20_L004_	NM_2_F_12_S25_L004_	NM_2_F_13_S26_L004_	NM_2_F_14_S27_L004_	NM_2_L_01_S15_L004_	NM_2_L_02_S16_L004_	NM_2_L_03_S17_L004_	NM_2_L_07_S21_L004_	NM_2_L_09_S22_L004_	NM_2_L_10_S23_L004_	NM_2_L_11_S24_L004_	NM_2_L_15_S28_L004_	NM_3_F_04_S32_L004_	NM_3_F_05_S33_L004_	NM_3_F_06_S34_L004_	NM_3_F_12_S39_L004_	NM_3_F_13_S40_L004_	NM_3_F_14_S41_L004_	NM_3_L_01_S29_L004_	NM_3_L_02_S30_L004_	NM_3_L_03_S31_L004_	NM_3_L_07_S35_L004_	NM_3_L_09_S36_L004_	NM_3_L_10_S37_L004_	NM_3_L_11_S38_L004_	NM_3_L_15_S42_L004_
ERCC-00078(+)	2.001	0.9845	0.9399	1.576	1.4026	3.0798	1.5878	0.9658	1.6737	1.1516	2.1037	1.6395	0.5819	1.1246	0.678	0.5365	0.8723	0.9925	2.2552	0.9166	1.0094	0.4903	0.4392	0.8215	2.4458	1.1853	1.1856	1.3614	0.2637	0.4273	0.3856	0.9834	0.528	0.9217	0.8003	0.4998	0.5374	0.6886	0.6102	0.3927	1.0131	0.9252	0.7623	0.6696	1.1893	0.4753	0.4604	1.0205	0.2357	0.7077	0.8149	0.6357	0.6059	0.5529	0.4822	0.6224	0.391	0.4036	0.2486	0.2297	0.3194	0.2318	0.5994	1.9182	0.3264	0.3702	0.5057	0.3953	0.3175	0.5082	0.952	0.7881	0.4598	0.336	0.2837	0.2493	0.6838	0.6233	0.7235	0.6324	0.3971	0.3667	0.5672	0.4206	0.3958	0.5	0.5819	0.8629	0.5447	0.4036	0.7472	0.1222	0.2984	0.4996	0.2073	0.7733	0.3981	0.2979	0.3562	0.6413	0.8015	0.2841	0.3353	0.4327	0.5296	0.2071	0.4649	0.5733	0.3909	0.764	0.2538	0.0961	0.3318	0.4873	0.2813	0.2721	0.5495	0.3212	0.724	0.566	0.1734	0.2713	0.4489	0.3297	0.3992	0.3232	0.8483	0.8416	0.4465	0.8624	1.0434	2.1478	0.9047	0.3118	1.3325	0.3458	1.0108	0.5176	1.8743	0.765	1.2244	0.5991	0.794	0.4773	1.4646	0.7072	1.145	0.7628	0.6898	0.5002	0.8299	0.4938	1.0956	0.4008	1.0226	0.5029	2.0093	0.5109	0.4732	0.6842	0.7619	0.1723	0.6437	1.4232	0.4736	0.6337	0.7463	0.4693
ERCC-00079(+)	2.667	0.8054	0.7198	1.0047	0.9445	0.8347	0.7091	1.0573	0.8533	0.6205	1.2436	1.6677	0.7809	1.0765	0.268	0.8174	0.3522	0.5326	0.5149	0.3646	0.1638	0.1408	0.1236	0.4891	0.588	0.6211	0.132	0.7376	0.3862	0.6284	0.4778	0.2034	0.431	0.6525	0.8515	0.1533	0.2365	0.1778	0.3093	0.5193	0.7018	0.1852	0.5036	0.8529	0.1953	0.2236	0.2219	0.2263	0.3783	0.1989	0.1532	0.2048	0.1203	0.4232	0.4467	0.33	0.2884	0.148	0.151	0.3091	0.16	0.1239	0.1386	0.3626	0.1288	0.1095	0.1924	0.0831	0.25	0.1776	0.299	0.1199	0.1296	0.1312	0.1101	0.2938	0.1714	0.0659	0.301	0.1536	0.1012	0.1785	0.1496	0.3783	0.0964	0.218	0.2128	0.0925	0.2024	0.1481	0.1296	0.4315	0.1616	0.1458	0.1424	0.2292	0.2466	0.212	0.279	0.1631	0.1576	0.0647	0.1166	0.1033	0.1621	0.146	0.2175	0.3022	0.1143	0.0954	0.1804	0.0758	0.0729	0.3458	0.1805	0.0918	0.1339	0.2922	0.0994	0.1877	0.2006	0.2658	0.0878	0.1494	0.1354	0.1141	0.6078	0.5635	0.2537	0.7407	0.6225	0.8983	0.6683	0.1627	0.2141	0.2075	0.1696	0.3352	0.2635	0.5257	1.3731	0.219	0.284	0.9681	0.4549	0.3141	0.3618	0.2863	0.4543	0.167	0.1545	0.3297	0.5216	0.245	0.4232	0.2427	0.6064	0.3192	0.4029	0.2145	0.2773	0.2081	0.4619	0.271	0.2477	0.3058	0.2116	0.1619
ERCC-00081(+)	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.4682	1.0	0.9719	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.015	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9888	1.0	1.2715	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9888	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4607	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6386	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8015	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6891	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4738	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.661	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ERCC-00083(+)	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8474	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9012	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8434	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ERCC-00084(+)	0.9859	3.2455	3.0402	1.0483	1.3078	3.0752	2.6505	2.497	1.7611	0.9507	3.8531	2.4592	2.1086	3.0302	1.329	0.9375	0.7232	2.3083	0.8713	1.9819	0.2899	0.453	0.2593	0.5322	1.3763	1.1109	0.5969	1.2401	1.031	1.5514	1.2208	0.5602	0.942	0.9823	0.9419	0.3992	1.1016	1.1914	0.9385	2.1235	0.8958	0.7638	0.2876	1.2575	1.1739	0.5915	0.6485	0.8502	0.3196	1.2422	2.3564	0.7448	0.4641	1.2692	0.9645	0.7887	1.3879	0.7678	0.5403	0.6239	0.9027	0.5853	0.6687	0.3635	0.6205	0.5495	0.4632	0.8417	0.3461	0.73	0.4548	1.5076	1.0091	0.4932	0.2465	0.4638	0.7697	0.6312	0.9102	0.7247	0.5017	0.5981	1.3639	0.2081	0.8354	0.3431	0.5108	0.6665	0.713	0.9664	0.4403	0.6749	0.6625	0.7946	0.5144	0.449	0.2637	0.4585	0.4656	0.4688	0.6432	0.5352	0.8006	0.3623	0.5832	0.7319	0.7568	0.8019	0.4277	0.554	0.3809	0.7207	0.4792	2.2273	0.2605	0.1613	0.6759	0.4743	0.2896	0.4308	0.3555	0.5305	0.3656	0.2266	0.6346	0.3074	0.6169	1.3008	1.5069	1.002	1.7393	1.258	1.4024	0.5511	0.9801	1.1775	2.3862	2.0241	1.1891	1.2193	2.6234	2.5845	4.5493	1.3058	0.9306	1.2141	0.3528	0.3605	0.9186	1.1665	0.6076	0.8348	0.8662	2.0722	3.2902	1.5799	1.1009	0.3074	1.4082	0.8295	1.0412	0.9113	1.5016	1.1423	0.4035	0.3418	1.6217	0.1904
ERCC-00085(+)	2.6777	1.0	2.0806	2.2512	1.0	0.9799	0.8934	3.5213	1.0	1.0	1.0	0.7986	1.0	1.6019	1.0	1.7512	0.8791	0.859	1.2796	1.654	1.0	1.065	2.4022	1.0	1.0	0.9491	1.3121	2.782	8.5355	0.6955	1.0	2.2578	1.8152	1.0	1.25	1.0	1.6951	0.6588	1.3039	1.0	1.1593	1.7784	2.1263	1.0	1.0	2.1635	1.0116	1.0	1.0379	0.6635	3.9102	1.4833	1.0	0.9206	0.8709	2.613	0.6908	2.4313	1.4345	0.8472	1.0	1.5111	0.4219	1.2545	0.5607	0.5545	1.0	1.1104	1.5845	1.2057	1.0	1.5131	0.6611	0.9538	1.1292	0.9454	1.6256	2.7571	1.3741	1.0549	1.1422	0.8768	0.8744	0.8827	4.0142	1.5059	0.8081	1.3021	0.8571	1.0	0.6777	0.9763	2.0047	1.0	1.4858	0.9218	0.7612	0.5971	1.0	0.9277	1.0118	0.6765	1.0225	2.0756	1.2503	1.0	0.9988	0.8697	0.5626	1.8439	3.8457	1.0	1.0344	0.8756	0.8599	1.0	1.564	1.0	0.2717	1.9882	0.9277	1.1777	0.8791	2.109	1.7547	0.9846	1.0	1.0	1.8566	1.0	0.6635	1.1706	0.9514	0.4751	1.0	1.6185	1.5107	1.0	1.0	2.0787	1.0	1.0	3.3944	1.0	1.0	1.3318	1.3981	1.0	1.0	0.9941	4.0647	1.0	1.0	0.6742	0.8898	1.955	0.8934	1.4303	1.0	1.0	1.0	1.9563	1.0941	1.0	1.0	1.5818	1.5578	1.0344
ERCC-00086(+)	1.0	1.0	1.0	1.0	1.0	1.0	1.8706	1.0863	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9794	0.7392	1.0	1.0	1.0	0.8873	1.0	1.0	1.0	1.0	0.9853	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7235	1.0	1.0	1.0	0.8098	1.149	1.0	1.0	1.0	1.0	1.0	0.8657	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7716	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7196	1.0	1.0	0.9951	1.0	1.0	0.949	1.0	1.0	1.0	1.0	1.4314	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0196	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7216	1.0	1.0	1.7333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.949	1.0	1.0	0.7176	1.0	1.0	1.0	2.002	1.0	1.0	1.0	1.0
ERCC-00092(+)	0.693	1.0341	0.7856	0.9985	0.8431	0.5608	1.6013	0.6306	0.9367	0.83	1.261	0.9999	0.465	0.5502	0.1574	0.3024	0.2185	0.9686	0.7578	0.8114	0.1566	0.1581	0.1827	0.2896	0.9136	0.7811	0.5193	0.4842	0.1634	0.1125	0.2017	0.2716	0.2356	0.1663	0.1523	0.1521	0.0787	0.1219	0.0683	0.129	0.1948	0.1567	0.1029	0.2161	0.1409	0.2159	0.1512	0.0994	0.0944	0.0981	0.0857	0.1802	0.1616	0.104	0.1751	0.1198	0.1211	0.1315	0.0694	0.0537	0.079	0.1085	0.0721	0.1073	0.043	0.0416	0.1106	0.1045	0.0773	0.1602	0.1445	0.1225	0.1318	0.0833	0.0978	0.0753	0.1361	0.1234	0.0891	0.1991	0.0851	0.0895	0.0768	0.0979	0.1236	0.1313	0.1037	0.2023	0.1288	0.1046	0.1561	0.1009	0.0771	0.1601	0.1016	0.1093	0.0865	0.1157	0.1405	0.058	0.1777	0.1235	0.0809	0.1172	0.0827	0.1357	0.1057	0.1353	0.1424	0.148	0.1229	0.0909	0.1081	0.0609	0.1148	0.0548	0.0935	0.0969	0.0993	0.1168	0.1212	0.1206	0.0589	0.0778	0.0783	0.0739	0.1481	0.2155	0.1382	0.2164	0.5174	0.5368	0.4717	0.169	0.1312	0.1636	0.338	0.1238	0.2007	0.4063	1.6512	0.205	0.1277	0.2138	0.2871	0.2164	0.6197	0.0913	0.4092	0.0994	0.137	0.158	0.2153	0.182	0.3866	0.1716	0.186	0.2475	0.1148	0.1025	0.3825	0.177	0.1667	0.201	0.0792	0.1807	0.131	0.1263
ERCC-00095(+)	0.1763	0.1477	0.1285	0.2631	0.2848	0.2664	0.2411	0.1443	0.2554	0.1431	0.0763	0.1588	0.1437	0.0792	0.1452	0.0787	0.2964	0.1755	0.2807	0.2588	0.1447	0.1875	0.1283	0.1827	0.2083	0.326	0.1957	0.2071	0.2876	0.1259	0.1161	0.2514	0.2079	0.1657	0.263	0.2147	0.1599	0.2912	0.2069	0.193	0.1989	0.1699	0.1365	0.1674	0.1561	0.1716	0.1327	0.0495	0.2618	0.1076	0.2314	0.1695	0.1712	0.1455	0.1079	0.0893	0.0826	0.0762	0.0771	0.0823	0.1153	0.0903	0.1811	0.1235	0.0614	0.1288	0.2109	0.1331	0.0583	0.2432	0.1995	0.1177	0.1136	0.1039	0.0679	0.0738	0.0919	0.0637	0.0544	0.0754	0.0898	0.1495	0.1786	0.0644	0.0641	0.12	0.1369	0.1663	0.0884	0.1305	0.0927	0.1191	0.0771	0.0893	0.1427	0.0656	0.0744	0.0586	0.0578	0.0553	0.0685	0.1017	0.0848	0.0978	0.07	0.1471	0.1096	0.0565	0.1169	0.0917	0.1102	0.0598	0.1213	0.1057	0.112	0.1382	0.0714	0.1201	0.1191	0.0602	0.0935	0.1329	0.0859	0.0752	0.1783	0.122	0.1137	0.1136	0.1677	0.0991	0.143	0.4213	0.2909	0.1163	0.092	0.0893	0.2667	0.1741	0.2702	0.2199	0.204	0.1845	0.2679	0.1923	0.4794	0.6538	0.1344	0.1343	0.0992	0.2187	0.188	0.0634	0.1294	0.2571	0.1501	0.0974	0.1566	0.224	0.1541	0.1113	0.1802	0.0704	0.1618	0.194	0.0553	0.0959	0.1634	0.167
ERCC-00096(+)	2.2546	1.6579	1.4567	2.3374	1.8821	1.5153	2.5185	2.2937	1.4649	1.721	3.2594	3.3551	1.5091	1.5442	0.2421	0.2473	0.2218	1.2213	1.228	1.0468	0.215	0.2039	0.2141	0.2011	1.1649	1.0003	1.1091	0.9596	0.2435	0.2607	0.2614	0.3287	0.3246	0.331	0.235	0.2281	0.2138	0.2506	0.3099	0.2999	0.2785	0.3004	0.1861	0.1867	0.2091	0.2783	0.2489	0.254	0.2326	0.1668	0.1863	0.1408	0.1788	0.1967	0.225	0.1968	0.1282	0.1174	0.1511	0.1484	0.1273	0.1779	0.1137	0.1294	0.1151	0.1026	0.1348	0.0962	0.1096	0.1292	0.1148	0.1003	0.1133	0.1171	0.1393	0.1187	0.1139	0.108	0.0964	0.1201	0.1155	0.1051	0.1216	0.1093	0.1931	0.1924	0.1709	0.2253	0.2083	0.1986	0.1467	0.1604	0.178	0.1968	0.1643	0.1499	0.1572	0.1949	0.1698	0.1987	0.2028	0.2187	0.1896	0.2032	0.1866	0.2155	0.2235	0.1748	0.2016	0.2414	0.2152	0.1729	0.2154	0.225	0.1417	0.1586	0.1701	0.2294	0.1894	0.2021	0.1887	0.2279	0.1558	0.1523	0.1542	0.14	0.3904	0.3992	0.2008	0.3313	0.3303	0.3673	0.5447	0.2428	0.2087	0.3379	0.2679	0.2638	0.2379	0.244	0.42	0.3975	0.3415	0.3068	0.4712	0.3343	0.2898	0.323	0.3245	0.2883	0.3067	0.2783	0.2976	0.2866	0.238	0.2587	0.2648	0.3019	0.2855	0.2719	0.2787	0.2142	0.1836	0.228	0.1964	0.2035	0.2238	0.2143
ERCC-00097(+)	1.3453	1.7954	1.0	1.0	1.0	1.0	1.0	1.0	0.8681	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5277	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0703	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8796	1.0	1.0	1.0	1.0	0.8681	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.566	1.0	1.0	1.0	1.0	0.912	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4876	1.0	0.9254	1.0	1.0	1.0	0.7055	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4493	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8203	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ERCC-00098(+)	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.098	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8381	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.6684	1.0	1.7839	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7559	1.0	1.0	0.79	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.336	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7699	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8416
ERCC-00099(+)	1.5388	0.7305	0.8168	0.513	0.7008	1.495	2.4819	1.001	0.2679	1.4223	1.3026	1.0899	0.8891	0.6971	0.7561	2.8005	1.6316	1.0807	0.6814	1.3975	1.0804	0.5283	0.6201	0.8004	3.2395	1.7969	1.6724	0.6307	0.9859	1.8536	1.4384	1.1822	1.2325	1.3687	1.1339	1.7481	1.0755	1.1306	0.8252	0.3535	1.2869	0.9119	0.6346	1.1328	0.9364	1.8599	1.2216	1.9166	1.9281	2.1275	0.8065	0.4063	1.3808	1.183	1.4228	1.0645	1.6468	0.8012	0.8022	0.5682	0.7915	0.8671	0.464	1.4057	1.0948	0.7597	0.8639	0.8548	1.4097	1.6915	1.4538	0.6465	1.9719	0.7424	0.6743	1.0391	0.4154	1.2095	1.1403	1.0575	0.4087	0.6533	1.0641	0.5743	0.9024	1.4343	0.9386	0.7624	1.2874	0.8225	0.7113	0.7786	1.2174	0.9676	0.8376	0.7528	0.9454	0.2957	1.1295	0.807	1.4607	0.5062	1.1911	0.7882	0.5862	1.07	0.5347	1.0738	0.8352	0.5316	0.8664	1.1968	0.2906	0.7227	0.5259	0.7266	2.0715	0.7337	0.5099	1.4519	0.5037	1.4991	1.0068	0.974	0.4524	0.5003	0.7414	1.5726	1.971	1.2541	0.9733	4.1995	1.8287	1.4289	1.4192	0.8292	0.8734	1.1919	2.2711	0.8744	1.4615	1.043	0.4077	1.1267	1.3308	0.9904	0.8384	0.9248	1.2377	1.1501	2.3363	1.5714	3.0377	2.0326	4.0292	2.4208	1.2112	1.5338	1.5354	0.5283	1.0799	1.0054	1.5533	0.8915	1.3275	0.4125	0.7238	0.7021
ERCC-00104(+)	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.368	0.9327	0.9693	1.0	1.0	1.0	1.0	1.0	1.0	0.9159	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9357	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8576	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9243	1.0	1.0	0.8501	1.0	1.0	1.0	1.0	0.8996	1.0	1.0	1.0	1.0	1.0	0.9011	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8586	1.0	1.0	1.0	1.0	0.9377	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0712	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
